category_id,category_name,parent_category,url
,"Clouterie, visserie et boulonnerie",Quincaillerie et fixation,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/clouterie-visserie-et-boulonnerie
,Fixation et assemblage,Quincaillerie et fixation,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage
,"Corde, sangle et chaîne",Quincaillerie et fixation,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/corde-sangle-et-chaine
,Tôle et profilé,Quincaillerie et fixation,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/tole-et-profile
,"Barre, tringle et câble",Quincaillerie et fixation,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/barre-tringle-et-cable
,Outillage de jardin motorisé,Matériel et outillage jardin et arrosage,https://www.bricodepot.fr/produits/outillage/materiel-et-outillage-jardin-et-arrosage/outillage-de-jardin-motorise
,Outillage de jardin à main,Matériel et outillage jardin et arrosage,https://www.bricodepot.fr/produits/outillage/materiel-et-outillage-jardin-et-arrosage/outillage-de-jardin-a-main
,Pompe et système d'arrosage,Matériel et outillage jardin et arrosage,https://www.bricodepot.fr/produits/outillage/materiel-et-outillage-jardin-et-arrosage/pompe-et-systeme-d-arrosage
,Huile essence et lubrifiant,Matériel et outillage jardin et arrosage,https://www.bricodepot.fr/produits/outillage/materiel-et-outillage-jardin-et-arrosage/huile-essence-et-lubrifiant
,Escalier,Escalier et Balustrade,https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/escalier-et-balustrade/escalier
,"Balustrade, garde corps",Escalier et Balustrade,https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/escalier-et-balustrade/balustrade-garde-corps
,"Rampe d'escalier, main courante",Escalier et Balustrade,https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/escalier-et-balustrade/rampe-d-escalier-main-courante
,Nez de marche,Escalier et Balustrade,https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/escalier-et-balustrade/nez-de-marche
,Laine de verre,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/laine-de-verre
,Laine de roche,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/laine-de-roche
,Fibre de bois,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/fibre-de-bois
,Isolation de la maison,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/isolation-de-la-maison
,Plaque de plâtre,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/plaque-de-platre
,Doublage plaque de plâtre,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/doublage-plaque-de-platre
,Ossature métallique,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/ossature-metallique
,Cloison et armature,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature
